,AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,datetime,real AC,loss_mae,Threshold,Anomaly,anomalies
428,570.9831,27.538311,40.376328,0.48960373,2020-06-14 11:00:00,210.9,360.0830932617188,200,1,210.9
429,474.78162,27.201761,37.826424,0.40460557,2020-06-14 11:15:00,0.0,474.7816162109375,200,1,0.0
430,494.3628,27.21551,38.266888,0.4217817,2020-06-14 11:30:00,0.0,494.36279296875,200,1,0.0
431,330.10507,26.217781,33.233788,0.2783831,2020-06-14 11:45:00,0.0,330.1050720214844,200,1,0.0
432,361.85,25.413958,32.766624,0.3050996,2020-06-14 12:00:00,0.0,361.8500061035156,200,1,0.0
433,345.4763,25.094416,31.948822,0.29078168,2020-06-14 12:15:00,0.0,345.4762878417969,200,1,0.0
434,330.1362,25.067318,31.578371,0.27762327,2020-06-14 12:30:00,0.0,330.1361999511719,200,1,0.0
435,370.97726,25.530174,33.13299,0.3130499,2020-06-14 12:45:00,0.0,370.9772644042969,200,1,0.0
436,385.441,25.231823,33.00568,0.32526743,2020-06-14 13:00:00,0.0,385.4410095214844,200,1,0.0
437,512.5191,25.985378,36.809658,0.4364368,2020-06-14 13:15:00,0.0,512.5191040039062,200,1,0.0
438,529.1794,26.922304,38.570667,0.45206144,2020-06-14 13:30:00,0.0,529.1793823242188,200,1,0.0
439,639.002,27.187399,41.26909,0.54940575,2020-06-14 13:45:00,0.0,639.0020141601562,200,1,0.0
440,911.44495,28.177813,48.37586,0.79489243,2020-06-14 14:00:00,0.0,911.4449462890625,200,1,0.0
441,842.5462,28.859453,48.024136,0.73406327,2020-06-14 14:15:00,320.225,522.3212036132812,200,1,320.225
